"ID","yr","ewe_age","age_class","prim","birthdate","median_bdate","birthdate_tp1","greenup_date","mass_fall_tm1","mass_fall","mass_spring","mass_gain","greenup_mismatch","mismatch_tp1","wean_mass","code_sr","repro_tp1","wean_tp1","frs","pred","first_pregnant"
290,2005,2,"adult",NA,NA,149.5,NA,142,NA,61.64,46.594,"15.0450875261801",NA,NA,NA,"0","yes","no","neoDeath","0","0"
290,2006,3,"prim","TRUE",NA,148.5,NA,134,61.64,70.033,56.768,"13.2648770164631",NA,NA,NA,"1","yes","yes","weaned","0","1"
290,2007,4,"adult","FALSE",145,145,"148",152,70.033,69.275,57.067,"12.2082004897021",-7,"-12",27.448,"3","yes","yes","weaned","0","0"
290,2008,5,"adult","FALSE",148,148,"145",160,69.275,79.111,41.878,"37.2337347157659",-12,"-1",29.358,"5","yes","yes","weaned","0","0"
290,2009,6,"adult","FALSE",145,140.5,"159",146,79.111,78.244,54.79,"23.4545522534582",-1,"9",31.037,"3","yes","yes","weaned","0","0"
290,2010,7,"adult","FALSE",159,144,"144",150,78.244,74.674,63.526,"11.1487222375428",9,"-7",28.207,"5","yes","yes","weaned","0","1"
290,2011,8,"adult","FALSE",144,148,"148",151,74.674,78.243,57.312,"20.9312291039014",-7,"2",30.89,"3","yes","yes","weaned","0","0"
290,2012,9,"adult","FALSE",148,150,"163",146,78.243,75.889,59.217,"16.6716049912383",2,"17",28.102,"5","yes","yes","weaned","0","0"
290,2013,10,"adult","FALSE",163,156,NA,146,75.889,75.502,63.586,"11.9164949223988",17,NA,26.336,"5","yes","no","neoDeath","1","0"
290,2014,11,"adult","FALSE",NA,155.5,NA,152,75.502,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"0","0"
291,2005,2,"adult",NA,NA,149.5,NA,142,NA,49.728,37.232,"12.4959182305314",NA,NA,NA,"0","no",NA,"noLamb","0","0"
291,2006,3,"adult",NA,NA,148.5,NA,134,49.728,71.599,51.9,"19.6995423512776",NA,NA,NA,"0","yes","yes","weaned","0","0"
291,2007,4,"prim","TRUE",144,145,"151",152,71.599,71.518,59.235,"12.2832281849843",-8,"-9",NA,"5","yes","yes","weaned","0","0"
291,2008,5,"adult","FALSE",151,148,"140",160,71.518,78.868,51.445,"27.4224133970033",-9,"-6",30.045,"5","yes","yes","weaned","0","0"
291,2009,6,"adult","FALSE",140,140.5,NA,146,78.868,78.697,59.588,"19.1096177508227",-6,NA,31.822,"3",NA,NA,NA,"0","0"
