"ID","yr","ewe_age_z","age_class","prim","mass_gain","repro_tp1","frs","wean_tp1","birthdate_tp1","mismatch_tp1","pred","first_pregnant","birthdate_z","median_bdate_z","greenup_date_z","mass_fall_tm1_z","mass_fall_z","mass_spring_z","greenup_mismatch_z","code_sr","wean_mass_z"
47,2008,0.208,"adult","FALSE",24.969,NA,NA,NA,NA,NA,"0","0",-0.251,-0.692,1.219,0.544,1.685,0.447,-0.95,"5",-0.177
48,2005,-0.935,"prim","TRUE",15.481,"yes","weaned","yes",149,15,"0","0",0.032,-0.474,-0.384,-1.694,-0.78,-0.669,0.246,"5",-0.488
48,2006,-0.649,"adult","FALSE",14.027,"yes","weaned","yes",148,-4,"0","0",-0.392,-0.619,-1.097,-0.748,-0.617,-0.346,0.354,"5",0.069
48,2007,-0.363,"adult","FALSE",12.393,"yes","weaned","yes",148,-12,"0","0",-0.463,-1.127,0.507,-0.588,-0.354,0.09,-0.678,"5",-0.449
48,2008,-0.078,"adult","FALSE",23.216,"yes","weaned","yes",139,-7,"0","0",-0.463,-0.692,1.219,-0.33,0.291,-0.618,-1.113,"5",0.242
48,2009,0.208,"adult","FALSE",19.058,"yes","weaned","yes",139,-11,"0","0",-1.099,-1.781,-0.028,0.304,0.296,-0.115,-0.841,"3",1.424
48,2010,0.494,"adult","FALSE",19.028,"yes","neoDeath","no",NA,NA,"0","0",-1.099,-1.272,0.328,0.309,0.614,0.18,-1.059,"5",0.545
48,2011,0.78,"adult","FALSE",17.482,"yes","weaned","yes",NA,NA,"0","0",NA,-0.692,0.418,0.622,0.313,0.09,NA,"1",NA
48,2012,1.066,"adult","FALSE",14.439,NA,NA,NA,NA,NA,"0","0",-0.675,-0.401,-0.028,0.326,0.433,0.564,-0.515,"5",NA
49,2006,-0.935,"prim","TRUE",13.265,"yes","weaned","yes",NA,NA,"0","1",NA,-0.619,-1.097,-0.98,0.085,0.387,NA,"1",NA
49,2007,-0.649,"adult","FALSE",12.208,"yes","weaned","yes",148,-12,"0","0",-0.675,-1.127,0.507,0.102,-0.014,0.423,-0.841,"3",-0.032
49,2008,-0.363,"adult","FALSE",37.234,"yes","weaned","yes",145,-1,"0","0",-0.463,-0.692,1.219,0.004,1.275,-1.398,-1.113,"5",0.37
