"ID","yr","ewe_age_z","age_class","prim","mass_gain","repro_tp1","frs","wean_tp1","birthdate_tp1","mismatch_tp1","pred","first_pregnant","birthdate_z","median_bdate_z","greenup_date_z","mass_fall_tm1_z","mass_fall_z","mass_spring_z","greenup_mismatch_z","code_sr","wean_mass_z","rtp1"
51,2019,0.208,"adult","FALSE",18.713,"yes","weaned","yes",NA,NA,"0","1",NA,0.325,-0.206,1.708,1.643,1.159,NA,"1",NA,"1"
52,2016,-0.935,"prim","TRUE",14.378,"yes","weaned","yes",143,2,"0","0",-0.321,-0.546,-2.077,-2.074,-1.149,-0.875,1.007,"2",NA,"1"
52,2017,-0.649,"adult","FALSE",15.226,"yes","weaned","yes",149,18,"0","0",-0.816,-1.055,-0.473,-1.111,-0.768,-0.628,-0.352,"3",1.386,"1"
54,2017,-0.649,"prim","TRUE",17.436,"yes","weaned","yes",177,46,"0","0",-0.675,-1.055,-0.473,-0.174,-0.153,-0.331,-0.243,"5",1.214,"1"
54,2018,-0.363,"adult","FALSE",12.85,"yes","neoDeath","no",NA,NA,"0","1",1.589,-0.111,-1.364,-0.132,-0.18,0.194,2.039,"3",-1.695,"1"
54,2019,-0.078,"adult","FALSE",17.597,"yes","neoDeath","no",NA,NA,"0","0",NA,0.325,-0.206,-0.159,-0.248,-0.437,NA,"1",NA,"1"
54,2020,0.208,"adult","FALSE",23.922,"yes","weaned","yes",NA,NA,"0","0",NA,3.011,-0.651,-0.225,0.376,-0.625,NA,"1",NA,"1"
57,2018,-0.935,"prim","TRUE",11.053,"yes","weaned","yes",192,48,"0","1",0.74,-0.111,-1.364,-0.795,-0.396,0.212,1.387,"3",-1.431,"1"
58,2020,-0.363,"adult","FALSE",27.638,"yes","notWeaned","no",160,NA,"0","0",1.73,3.011,-0.651,0.448,0.642,-0.827,1.713,"5",NA,"1"
61,2017,-0.935,"prim","TRUE",15.768,"yes","weaned","yes",202,71,"0","0",-0.604,-1.055,-0.473,-0.912,-0.311,-0.275,-0.189,"3",-0.005,"1"
61,2019,-0.363,"adult","FALSE",8.384,"yes","neoDeath","no",NA,NA,"0","1",-0.109,0.325,-0.206,0.321,-0.125,0.78,0.028,"3",0.045,"1"
62,2017,-0.363,"adult","FALSE",21.507,"yes","weaned","yes",150,19,"0","0",-0.392,-1.055,-0.473,-0.578,0.445,-0.272,-0.026,"2",NA,"1"
63,2017,-0.649,"prim","TRUE",16.156,"yes","weaned","yes",175,44,"0","0",-0.18,-1.055,-0.473,-0.411,0.064,0.021,0.137,"5",0.553,"1"
